,season,episode,title,name,quote
26,1,4,Jack the Writer,Frank,"Yeah, shake it. Feel the music."
27,1,4,Jack the Writer,Liz,"Oh, Mr. Donaghy."
28,1,4,Jack the Writer,Jack,"No, please, uh, finish your dance."
29,1,4,Jack the Writer,Liz,"Oh, we were just taking a little break, and we all love the music of Chamillionaire."
30,1,4,Jack the Writer,Jack,"I see. If you don't mind, I'll just observe from... over here."
31,1,4,Jack the Writer,Liz,You will? Why?
32,1,4,Jack the Writer,Jack,Are you familiar with Six Sigma?
33,1,4,Jack the Writer,Frank,"Oh, yeah. It's a special kind of G. I. Joe."
34,1,4,Jack the Writer,Jack,"It's Frank, right?"
35,1,4,Jack the Writer,Frank,"Y-yes, sir."
36,1,4,Jack the Writer,Jack,Yeah.
37,1,4,Jack the Writer,Jack,"Frank, Six Sigma is the elite G. E. Executive Training Course. To master just its basic concepts, one must brave a five-day conference at a Sheraton. Six Sigma says that a manager must understand, every aspect of the business he or she oversees."
38,1,4,Jack the Writer,Liz,Which means...
39,1,4,Jack the Writer,Jack,"I'll be in here every day, soaking it up."
40,1,4,Jack the Writer,Jack,"So, please, return to work and act like I'm not here."
41,1,4,Jack the Writer,Liz,Okay. Let's get into Toofer's commercial parody. We were trying to think of a funnier cereal name.
42,1,4,Jack the Writer,Liz,"The favorite options so far include, Honey Bunches of Sadness, Oat Bung, and Swastikos."
43,1,4,Jack the Writer,Toofer,"Uh, Froot Lupus."
44,1,4,Jack the Writer,Frank,No.
45,1,4,Jack the Writer,Lutz,Dingleberries.
46,1,4,Jack the Writer,Frank,Fart Nuggets.
47,1,4,Jack the Writer,Jack,Sorry. That's really great.
48,1,4,Jack the Writer,Liz,"Okay, let's just think for another minute. Um, Frosted Mini-Guns."
49,1,4,Jack the Writer,Frank,No.
50,1,4,Jack the Writer,Frank,Lucky Bastards.
51,1,4,Jack the Writer,Jack,"If you don't mind, I think we all really laughed at Fart Nuggets, so could we just move on, please?"
52,1,4,Jack the Writer,Liz,"Every day, huh?"
53,1,4,Jack the Writer,Cerie,You guys want coffee?
54,1,4,Jack the Writer,Frank,"Oh, yeah."
55,1,4,Jack the Writer,Jack,"So, I was doing some research on comedy, and I came across the cartoon strip ""Dilbert."", It's quite good. And I was wondering if we could do that."
56,1,4,Jack the Writer,Liz,Do what?
57,1,4,Jack the Writer,Jack,"""Dilbert."""
58,1,4,Jack the Writer,Cerie,You guys want coffee?
59,1,4,Jack the Writer,Frank,"Oh, yeah."
60,1,4,Jack the Writer,Jack,"No, no, no, no, no. You can't say that. Jeb Bush is a friend of mine."
61,1,4,Jack the Writer,Frank,Who should I change it to?
62,1,4,Jack the Writer,Jack,"Sean Penn. No, Barbra Streisand."
63,1,4,Jack the Writer,Jack,He guns it. Girl falls into the water.
64,1,4,Jack the Writer,Cerie,You guys want coffee?
65,1,4,Jack the Writer,Jack,"So he circled back, looking for her. Remember, it's pitch-black out. The boat hits something... hard... and you hear kind of, ""eeeeughh."", And Brokaw says, ""Just go. Don't look back."", Now, I'm not a writer, but maybe there's a skit in that."
66,1,4,Jack the Writer,Pete,Hey.
67,1,4,Jack the Writer,Liz,What's up? Good morning.
68,1,4,Jack the Writer,Pete,"So, is Donaghy gonna be in the room again today?"
69,1,4,Jack the Writer,Liz,"Ugh, probably, yeah."
70,1,4,Jack the Writer,Pete,"Well, you have to say something to him. You guys are not getting any work done."
71,1,4,Jack the Writer,Liz,"Really? You don't think his idea of starting with the catchphrases, and working backwards is panning out?"
72,1,4,Jack the Writer,Jack,"Nuts to you, McGillicuddy."
73,1,4,Jack the Writer,Jack,Who ordered the wieners?
74,1,4,Jack the Writer,Jack,"Beep, beep, ribby, ribby!"
75,1,4,Jack the Writer,Liz,"Actually, Frank wrote a draft of ""Beep, beep, ribby, ribby."""
76,1,4,Jack the Writer,Pete,"Look, you have to say something to Jack soon, or your writers are gonna revolt."
77,1,4,Jack the Writer,Liz,What do you all not understand? He's our boss.
78,1,4,Jack the Writer,Liz,"Me trying to tell Jack what to do, would be like you trying to boss around... which one of your kids is it that you're afraid of?"
79,1,4,Jack the Writer,Pete,Kyle. Kyle. So strong.
80,1,4,Jack the Writer,Liz,"Oh, come on. That was a jacket. That's it. I got to talk to her about her clothes. She can't dress like that."
81,1,4,Jack the Writer,Pete,"Yes, she can. People like the way she dresses."
82,1,4,Jack the Writer,Liz,"Oh, come on. It's distracting. It's inappropriate."
83,1,4,Jack the Writer,Pete,"You're inappropriate, you jerk, with your big, stupid face!"
84,1,4,Jack the Writer,Liz,Come on.
85,1,4,Jack the Writer,Pete,"No, Liz. Listen, listen, listen. Look at me. Look how bald I am. Look at my life. Please, just give me this one thing."
86,1,4,Jack the Writer,Liz,"Pete, no! Come on! I'm talking to her."
87,1,4,Jack the Writer,Pete,Talk to yourself!
88,1,4,Jack the Writer,Tracy,"K, my boy! What's the frequency, Ken? I need you to grab me some lunch."
89,1,4,Jack the Writer,Kenneth,Absolutely. What can I get for you?
90,1,4,Jack the Writer,Tracy,I want nachos.
91,1,4,Jack the Writer,Kenneth,"Yes, sir."
92,1,4,Jack the Writer,Tracy,From Yankee Stadium.
93,1,4,Jack the Writer,Kenneth,"Yes, sir!"
94,1,4,Jack the Writer,PA,"Jenna to the set, please, for ""United Nations Bloopers."""
95,1,4,Jack the Writer,Liz,"Oh, hey, Cerie. I kind of need to talk to you about something. Do you have a second?"
96,1,4,Jack the Writer,Cerie,Sure.
97,1,4,Jack the Writer,Liz,"Okay. This is gonna sound really weird, but, um... you need to wear a bra."
98,1,4,Jack the Writer,Cerie,"Oh, no, I... I don't, actually. They kind of just stay up on their own. See?"
99,1,4,Jack the Writer,Liz,"Yeah, okay. What I'm saying is, you need to wear a bra to work, if you want to be taken seriously in this business."
100,1,4,Jack the Writer,Cerie,"Oh, but I don't actually want to work in television."
101,1,4,Jack the Writer,Cerie,"Career-wise, I'm just gonna marry rich, and then design handbags."
102,1,4,Jack the Writer,Liz,"Here's the thing. The way that you dress, is making some people around the office uncomfortable."
103,1,4,Jack the Writer,Cerie,Really? Who?
104,1,4,Jack the Writer,Pete,Not me.
105,1,4,Jack the Writer,Liz,I guess it's mostly me that has the problem with it.
106,1,4,Jack the Writer,Cerie,"Oh, because you have, like, one of those body-image things?"
107,1,4,Jack the Writer,Liz,"No, it's not that."
108,1,4,Jack the Writer,Cerie,"Good, because I was gonna say, you still have a good body."
109,1,4,Jack the Writer,Liz,"Well, thank you, but this isn't about me."
110,1,4,Jack the Writer,Cerie,"Like, how'd you dress before you were married?"
111,1,4,Jack the Writer,Liz,"I'm not married, Cerie."
112,1,4,Jack the Writer,Cerie,"Oh, for some reason I thought you had, like, three kids."
113,1,4,Jack the Writer,Liz,Nope. Never married. No kids.
114,1,4,Jack the Writer,Cerie,"'Cause sometimes you have, like, food stains on your shirt and stuff. I just assumed that it was kids."
115,1,4,Jack the Writer,Liz,You know what? Forget I mentioned it. You look great.
116,1,4,Jack the Writer,Liz,Is it my birthday?
117,1,4,Jack the Writer,Toofer,You have to get Donaghy out of the room.
118,1,4,Jack the Writer,Liz,"Boy, we, as a group, might not smell great."
119,1,4,Jack the Writer,Frank,"Come on, he's stifling us. I feel like I just can't be myself around him."
120,1,4,Jack the Writer,Lutz,"Yeah, Tracy's downstairs right now, rehearsing the best thing we've written all week."
121,1,4,Jack the Writer,Tracy,"Beep, beep, ribby, ribby."
122,1,4,Jack the Writer,Liz,All right.
123,1,4,Jack the Writer,Liz,"All right, I'll take care of it."
124,1,4,Jack the Writer,Frank,"Thanks, Liz."
125,1,4,Jack the Writer,Liz,"Hey, Mr. Donaghy."
126,1,4,Jack the Writer,Jack,Sorry I'm late. I was at a luncheon for Ann Coulter's 60th birthday.
127,1,4,Jack the Writer,Liz,"Oh, yeah. Listen, it's been really great having you in the room, these last few days..."
128,1,4,Jack the Writer,Jack,"Oh, it's been great for me, too, being around all this creativity."
129,1,4,Jack the Writer,Jack,"I'll tell you, in the beginning, I thought it was gonna be a bit of a chore, honestly, but now... oh, I have an idea for you. Uh, Monkey Senate. We open on the Capitol..."
130,1,4,Jack the Writer,Liz,You can't be in here anymore!
131,1,4,Jack the Writer,Jack,What's that?
132,1,4,Jack the Writer,Liz,It's not working.
133,1,4,Jack the Writer,Liz,"You're driving everybody crazy, and, okay, you can just fire me now, and I will go back to teaching improv to senior citizens."
134,1,4,Jack the Writer,Jack,"Why would I want to fire you? This is fine. Six Sigma values direct and honest communication, between coworkers, so, uh... Thank you, Liz."
135,1,4,Jack the Writer,Liz,"Oh, sure."
136,1,4,Jack the Writer,Jack,I'll just head upstairs now.
137,1,4,Jack the Writer,Liz,"Okay, well, thank you for being so understanding."
138,1,4,Jack the Writer,Jack,Absolutely.
139,1,4,Jack the Writer,Kenneth,"Oh, no! I will not let you down, sir."
140,1,4,Jack the Writer,Kenneth,"Go get help, girl."
141,1,4,Jack the Writer,Liz,"Hey, Jonathan. I left a bunch of messages for Jack, but I haven't heard back. Do you know if he got them?"
142,1,4,Jack the Writer,Jonathan,Mr. Donaghy's been very busy.
143,1,4,Jack the Writer,Liz,"Oh, well, I just... I really need him to approve this budget."
144,1,4,Jack the Writer,Jonathan,"Well, I'm sorry. He's out of the country till the end of the week."
145,1,4,Jack the Writer,Tracy,You want to know another key to success?
146,1,4,Jack the Writer,Kenneth,"I do, Mr. Jordan."
147,1,4,Jack the Writer,Tracy,Dress every day like you gonna get murdered in those clothes.
148,1,4,Jack the Writer,Tracy,"You did real good the other day with those nachos, but I need you to do something of a different nature."
149,1,4,Jack the Writer,Tracy,"Okay, would you agree when I say, that a man's freedom only exists, when he's free to pursue his desires?"
150,1,4,Jack the Writer,Kenneth,"Yes, I suppose I would."
151,1,4,Jack the Writer,Tracy,"Which means when the law conflicts with our desires, then we must operate outside the law."
152,1,4,Jack the Writer,Tracy,You following me?
153,1,4,Jack the Writer,Kenneth,"Otherwise, we would no longer be free."
154,1,4,Jack the Writer,Tracy,"Now, I got a mission for you."
155,1,4,Jack the Writer,Cerie,"Hey, Liz. I took your advice. I'm wearing a bra."
156,1,4,Jack the Writer,Liz,"That's great, Cerie."
157,1,4,Jack the Writer,Jonathan,"Liz, can I speak to you for a second?"
158,1,4,Jack the Writer,Liz,Sure. What's going on?
159,1,4,Jack the Writer,Jonathan,"Mr. Donaghy is very upset, that you banned him from the writers' room. He wants you to apologize."
160,1,4,Jack the Writer,Liz,Really?!
161,1,4,Jack the Writer,Jonathan,"But when you apologize, you have to act like it was your idea. He can't know that I told you."
162,1,4,Jack the Writer,Liz,But he sent you here to tell me to apologize.
163,1,4,Jack the Writer,Jonathan,Exactly. I penciled you in for 3:00. This conversation never happened.
164,1,4,Jack the Writer,PA,"Jenna, set yourself, please, for ""Who Wants to Eat a Dictionary?"""
165,1,4,Jack the Writer,Pete,Where's Kenneth?
166,1,4,Jack the Writer,Man,Who is it?
167,1,4,Jack the Writer,Kenneth,It's Kenneth from the NBC page program. I'm here for a pickup from Kyang Dang.
168,1,4,Jack the Writer,Kenneth,"Hello, gentlemen. Oh, thank goodness, air-conditioning. Ooh, what does that tattoo mean? When I get nervous, I ask a lot of questions. Do y'all have a bathroom I could use? Y'all have long fingernails. Now, do y'all rent this space, or do you own it? Hey! That's a funny-looking fish. What is that... like, a grapefruit knife? Do you have a cellphone? What's your plan?"
169,1,4,Jack the Writer,Pete,This apology thing is... interesting.
170,1,4,Jack the Writer,Liz,"Oh, even when it's something normal, I hate going up to Jack's office. I always feel like I'm entering the Death Star. I expect to see stormtroopers. I'm telling you, if Donaghy does this at me, I will run."
171,1,4,Jack the Writer,Pete,You'll be fine... Captain Needa.
172,1,4,Jack the Writer,Liz,"No, Captain Needa dies. He dies!"
173,1,4,Jack the Writer,Kenneth,"ß There's no business like show business ß, ß Like no business I know ß, ß Everything about it is appealing ß, ß Everything the traffic will allow ß, ß Nowhere can you get that special feeling ß, ß Than when you're stealing that extra bow ß"
174,1,4,Jack the Writer,Jack,What can I do for you? I'm on a helicopter in 15 minutes.
175,1,4,Jack the Writer,Liz,"Uh... well, sir, I just wanted to say, um, I'm sorry if I hurt your feelings the other day, when I asked you to stay out of the writers' room."
176,1,4,Jack the Writer,Jack,That's absurd. Completely unnecessary. I haven't given it a second thought.
177,1,4,Jack the Writer,Liz,"Okay, good, 'cause, you know, the writers, they see you as management."
178,1,4,Jack the Writer,Jack,"Please, it's water under the bridge. Stop worrying and just go on back to work."
179,1,4,Jack the Writer,Liz,Right.
180,1,4,Jack the Writer,Jack,"Of course, I can understand, how you might think my feelings were hurt. No one wants to hear that people don't like you."
181,1,4,Jack the Writer,Liz,"What? No, that... No, that's not at all what I was saying before. I never said that people don't like you. That's not true."
182,1,4,Jack the Writer,Jack,So people do like me?
183,1,4,Jack the Writer,Liz,"Yes, people like you."
184,1,4,Jack the Writer,Jack,Do you like me?
185,1,4,Jack the Writer,Liz,"Of course. I like you, Jack."
186,1,4,Jack the Writer,Jack,You know what I like about you?
187,1,4,Jack the Writer,Jack,Your eyes.
188,1,4,Jack the Writer,Jack,"You have those... black... shark's eyes, you know? Very intense."
189,1,4,Jack the Writer,Liz,Thank you.
190,1,4,Jack the Writer,Jack,Anyway...
191,1,4,Jack the Writer,Tracy,"You done good, kid. That thing ever goes missing, and gets into the public water system, we don't know each other."
192,1,4,Jack the Writer,Kenneth,Got it.
193,1,4,Jack the Writer,Tracy,I got one little errand for you to run.
194,1,4,Jack the Writer,Tracy,"Tomorrow's my anniversary, and I almost forgot about it."
195,1,4,Jack the Writer,Tracy,"But what did I tell you was the secret, to having a good marriage and keeping it together, Kenneth?"
196,1,4,Jack the Writer,Kenneth,"Be a good listener, a giver of gifts, and work that vajayjay."
197,1,4,Jack the Writer,Tracy,That's my boy.
198,1,4,Jack the Writer,Tracy,That's why I want you to go see my jeweler.
199,1,4,Jack the Writer,Jack,"Good morning, Liz."
200,1,4,Jack the Writer,Liz,"Oh, hi, Mr. Donaghy. How are you?"
201,1,4,Jack the Writer,Jack,"Fine, thank you."
202,1,4,Jack the Writer,Jack,"I remember you mentioning what a big fan you are, of the rapper Chamillionaire."
203,1,4,Jack the Writer,Liz,"Oh, 'cause I was dancing with Frank? Oh, yes, yeah. I love Chamillionaire."
204,1,4,Jack the Writer,Jack,"Well, it just so happens, that he's performing this weekend at Webster Hall, and I got some V. I. P. tickets and backstage passes."
205,1,4,Jack the Writer,Jack,"You could take the writers or a friend, whatever."
206,1,4,Jack the Writer,Jack,Enjoy yourself. You deserve it.
207,1,4,Jack the Writer,Liz,"Wow, thank you. That's... that's very thoughtful."
208,1,4,Jack the Writer,Jack,"Well, I think that coworkers, should have good personal relationships."
209,1,4,Jack the Writer,Jack,"I know we've had some missteps, but we've put all that behind us, and I'd like us to be... friendly."
210,1,4,Jack the Writer,Liz,"Yeah, absolutely, yes. So do I."
211,1,4,Jack the Writer,Liz,"Wow, I just can't believe Chamillionaire tickets, were still available."
212,1,4,Jack the Writer,Jack,"Ha, well... See you."
213,1,4,Jack the Writer,PA,"Josh to the stage, please, for ""Homophobic Gays."""
214,1,4,Jack the Writer,Pete,What was that about?
215,1,4,Jack the Writer,Liz,Just talking to my bud Jack Donaghy.
216,1,4,Jack the Writer,Pete,Bud? Really?
217,1,4,Jack the Writer,Liz,"Yes, he said he wants us to be friends, he gave me Chamillionaire tickets, and he even did this to me."
218,1,4,Jack the Writer,Pete,"Wow, well, look, having Jack on your side, can only make life easier. It's good for everybody if he wants to be friends."
219,1,4,Jack the Writer,Liz,"I know, but it's so weird. It's like that scene where you see, the back of Darth Vader's head with his helmet off, and you're like, "" He's a human being."", I got to get some new DVDs."
220,1,4,Jack the Writer,Pete,Did we just go in a circle?
221,1,4,Jack the Writer,Liz,"Yeah, I was following you."
222,1,4,Jack the Writer,Pete,I was following you.
223,1,4,Jack the Writer,Liz,"No, I'm going to wardrobe."
224,1,4,Jack the Writer,Pete,"Okay, good walk and talk."
225,1,4,Jack the Writer,Liz,"Lee, can I check costumes for the cold open?"
226,1,4,Jack the Writer,Man,That looks fierce.
227,1,4,Jack the Writer,Cerie,"Hey, Liz."
228,1,4,Jack the Writer,Liz,"Cerie, seriously. Take that off. And, you, stop encouraging her. You're an enabler."
229,1,4,Jack the Writer,Liz,"You need to dress like you have a job, and parents who raised you, in some kind of shame-based American religious tradition."
230,1,4,Jack the Writer,Liz,Here.
231,1,4,Jack the Writer,Cerie,I can make this hot.
232,1,4,Jack the Writer,Cerie,Now I get to pick out what I think you'd look good in.
233,1,4,Jack the Writer,Liz,"Oh, I'm not really a fashion person."
234,1,4,Jack the Writer,Cerie,You're wearing this.
235,1,4,Jack the Writer,Liz,"Come on, no."
236,1,4,Jack the Writer,Cerie,"I'm serious... this color would be amazing on you, and you're a size 4, right?"
237,1,4,Jack the Writer,Liz,"Well, aren't you sweet?"
238,1,4,Jack the Writer,Liz,"Hey, guys. What's up?"
239,1,4,Jack the Writer,Frank,Ugh!
240,1,4,Jack the Writer,Pete,"Oh, my God!"
241,1,4,Jack the Writer,Liz,What...
242,1,4,Jack the Writer,Pete,What are you wearing?!
243,1,4,Jack the Writer,Frank,You're making me gay.
244,1,4,Jack the Writer,Liz,"It's a joke, obviously. I'm wearing this as a joke. A bunch of comedy writers don't know a joke, jeez."
245,1,4,Jack the Writer,Frank,I just threw up in my mouth.
246,1,4,Jack the Writer,Liz,I said it's a joke!
247,1,4,Jack the Writer,Writer,"Work your ""thang."""
248,1,4,Jack the Writer,Lutz,I think I'm having a heart attack.
249,1,4,Jack the Writer,Liz,Excellent. Right here. Thank you.
250,1,4,Jack the Writer,Frank,"Oh, pizza."
251,1,4,Jack the Writer,Liz,"There you go. Thank you, sir."
252,1,4,Jack the Writer,Frank,Can we eat this out on the roof gardens?
253,1,4,Jack the Writer,Liz,I don't even know how to get out there. I don't think people are allowed out there.
254,1,4,Jack the Writer,Toofer,"No, I see ""Today Show"" people eating out there all the time."
255,1,4,Jack the Writer,Liz,Really? Even Ann Curry?
256,1,4,Jack the Writer,Jack,"I'll show you the studio in just a minute, but, first, this is where my writers write."
257,1,4,Jack the Writer,Jack,Don't mind the odor.
258,1,4,Jack the Writer,Jack,"But, seriously, since Tracy's arrival, the show is up in the key demos, we're driving male viewership, and we're effectively synergizing backward overflow."
259,1,4,Jack the Writer,Toofer,"Please, Liz. Let us eat outside."
260,1,4,Jack the Writer,Liz,"You know what? I'll ask Jack. He'll let us eat out there, right? He and I have an important friendship."
261,1,4,Jack the Writer,Frank,"Hey, they didn't bring any sodas."
262,1,4,Jack the Writer,Pete,"I'll call Kenneth. Seriously, where is Kenneth?"
263,1,4,Jack the Writer,Kenneth,"Happy Anniversary, Mrs. Jordan. Excuse me, do y'all just have noodles with butter?"
264,1,4,Jack the Writer,Jack,reintegrate that position...
265,1,4,Jack the Writer,Liz,"Hey, Jack! Sorry to interrupt."
266,1,4,Jack the Writer,Liz,"Hey, can we eat our pizza outside? 'Cause those wangs from the ""Today Show"", eat on the roof garden all the time, you know?"
267,1,4,Jack the Writer,Liz,"And I thought since me and you are best buds... boink... maybe you could do me a solid, and slip me the key to that thing."
268,1,4,Jack the Writer,Liz,This guy's the best. He got me kick-ass Chamillionaire tickets.
269,1,4,Jack the Writer,Liz,You guys like Chamillionaire?
270,1,4,Jack the Writer,Liz,"Anyway, Jack rocks. This guy... A-plus."
271,1,4,Jack the Writer,Jack,Excuse me for a moment.
272,1,4,Jack the Writer,Jack,I'm sorry for what's about to happen right now. Just know that I don't mean it.
273,1,4,Jack the Writer,Liz,Don't mean what?
274,1,4,Jack the Writer,Jack,"What group home did you escape from, that you would dare talk to me like some plumber's wife, in front of Ron Gordon and Bob Overmyer?"
275,1,4,Jack the Writer,Liz,I don't even know who those guys are.
276,1,4,Jack the Writer,Jack,"Oh, really? Your ignorance was obvious when you waddled up to me, with your thin-lipped mouth full of greasy peasant food, and addressed me by my Christian name, in front of the gentlemen from Fairfield."
277,1,4,Jack the Writer,Jack,"That's Fairfield, Connecticut, Lemon... G. E. Headquarters."
278,1,4,Jack the Writer,Jack,"But how would you know that, with your nigh 40 years of public education, and daytime-television viewing?"
279,1,4,Jack the Writer,Jack,"If you ever pull a bush-league stunt like that again, I'm gonna have you, writing promos for Arena football so fast, it'll make your inexplicably small head spin."
280,1,4,Jack the Writer,Frank,"Oh, snap."
281,1,4,Jack the Writer,Jack,Sorry. I'm sorry. I'm sorry.
282,1,4,Jack the Writer,Liz,I thought you said we were friends.
283,1,4,Jack the Writer,Jack,I said we were friendly.
284,1,4,Jack the Writer,Liz,"Well, I don't like you anymore."
285,1,4,Jack the Writer,Jack,I don't believe you.
286,1,4,Jack the Writer,Jack,Go easy on the pizza.
287,1,7,Tracy Does Conan,Liz,Why is there hair everywhere? Did you shave in the kitchen?
288,1,7,Tracy Does Conan,Dennis,The water in here is softer.
289,1,7,Tracy Does Conan,Dennis,Look at this ski-jumping idiot Bode Miller. What kind of a fruity name is Bode?
290,1,7,Tracy Does Conan,Liz,"That cereal has the Olympics on it? That's, like, eight months old."
291,1,7,Tracy Does Conan,Dennis,"When you and me have kids, we're gonna give them good names like Shannon or Rick."
292,1,7,Tracy Does Conan,Liz,When we what?
293,1,7,Tracy Does Conan,Dennis,"When we have kids, dummy. Come on."
294,1,7,Tracy Does Conan,Liz,"Yeah, I got to go. Um... are you gonna be home later? I got to talk to you about something."
295,1,7,Tracy Does Conan,Dennis,I'll be right here.
296,1,7,Tracy Does Conan,Dennis,"Look at this maze. It's so easy. I mean, come on, you go in here and out there."
297,1,7,Tracy Does Conan,Liz,"I'll be home early, okay?"
298,1,7,Tracy Does Conan,Dennis,"Yeah, well... come here, sweetheart."
299,1,7,Tracy Does Conan,Liz,"Oh, Dennis, I just did my hair."
300,1,7,Tracy Does Conan,Dennis,"Aw, that's my girl. Yeah, bye."
301,1,7,Tracy Does Conan,Nurse,"Now, make sure you drink plenty of fluids and get something to eat. Don't do anything strenuous tonight. Don't hit the clubs."
302,1,7,Tracy Does Conan,Liz,"No, I'm going straight home, actually. I'm breaking up with my boyfriend tonight. I can't take it anymore."
303,1,7,Tracy Does Conan,Nurse,"Hmm, 35, single, no children. Three sexual partners in the last 10 years. I don't know, doll. Maybe it's time to settle."
304,1,7,Tracy Does Conan,Nurse,Chocolate chip or butter crunch?
305,1,7,Tracy Does Conan,Jenna,I can't believe that this is happening to me. It's just not fair.
306,1,7,Tracy Does Conan,Pete,You're right. This business is unfair.
307,1,7,Tracy Does Conan,Liz,What happened?
308,1,7,Tracy Does Conan,Pete,"Jenna was supposed to be on the ""Conan"" show tonight, but..."
309,1,7,Tracy Does Conan,Jenna,I got bumped.
310,1,7,Tracy Does Conan,Liz,"Oh, well, you know, that kind of thing happens."
311,1,7,Tracy Does Conan,Pete,Jack bumped her and put Tracy on instead.
312,1,7,Tracy Does Conan,Liz,"Jenna, you can't let this kind of thing get to you."
313,1,7,Tracy Does Conan,Jenna,I just feel like everything always gets taken away from me.
314,1,7,Tracy Does Conan,Liz,"No, that's not true. What about that movie you did last summer?"
315,1,7,Tracy Does Conan,Jenna,"""The Rural Juror""?"
316,1,7,Tracy Does Conan,Liz,"Yeah, ""The Rur..."" that one."
317,1,7,Tracy Does Conan,Man,"""Rural Juror,"" apple 3, take one. Mark. It's a terrible title."
318,1,7,Tracy Does Conan,Director,Action.
319,1,7,Tracy Does Conan,Liz,When does that come out?
320,1,7,Tracy Does Conan,Jenna,"""The Rural Juror"" opens in selected theaters December 18th."
321,1,7,Tracy Does Conan,Jenna,"Does Jack Donaghy even know I'm in ""The Rural Juror""? Maybe if he knew I have a film career, he would treat me with more respect."
322,1,7,Tracy Does Conan,PA,"Jenna to the set, please. Jenna to the set, please, for ""Rodney Stink, Confirmed Bachelor. """
323,1,7,Tracy Does Conan,Liz,"I will tell him. I will tell him that you are in a feature film called ""The Rur Jur."""
324,1,7,Tracy Does Conan,Pete,What the hell's her movie called? I don't know.
325,1,7,Tracy Does Conan,Liz,She's been talking about it for a year. I can't ask her now.
326,1,7,Tracy Does Conan,Liz,I can't believe Jack did this to her!
327,1,7,Tracy Does Conan,Pete,"I can't believe Conan's gonna have Tracy on as a guest again, considering what happened last time."
328,1,7,Tracy Does Conan,Conan,You seem like you have a nice chemistry...
329,1,7,Tracy Does Conan,Tracy,I am a stabbing robot. I will stab you.
330,1,7,Tracy Does Conan,Conan,"All right, no, okay! All right, all right! That's great, Tracy! We'll take a break! We'll be right back!"
331,1,7,Tracy Does Conan,Liz,"Hey, Clarice, can I see Josh's Stone Phillips wig? Oh, great."
332,1,7,Tracy Does Conan,Liz,"Do you mind if I pop it on you, actually? I want to see the shape of it."
333,1,7,Tracy Does Conan,Pete,Please. It would make my wife's dream come true.
334,1,7,Tracy Does Conan,Liz,Oh.
335,1,7,Tracy Does Conan,Pete,Yeah? Handsome?
336,1,7,Tracy Does Conan,Liz,Yes!
337,1,7,Tracy Does Conan,Pete,You find me handsome?
338,1,7,Tracy Does Conan,Liz,"Yes, very much."
339,1,7,Tracy Does Conan,Pete,"You know, I used to be very rich."
340,1,7,Tracy Does Conan,Liz,Oh. Hello.
341,1,7,Tracy Does Conan,Pete,"Ooh, hi. Sorry."
342,1,7,Tracy Does Conan,Jack,"I know you're wearing that as a joke, but it makes you look younger and more confident, and I think you should consider it."
343,1,7,Tracy Does Conan,Jack,Can I see you in my office?
344,1,7,Tracy Does Conan,Liz,"Yeah, hang on a second, actually. Why did you bump Jenna from ""Conan""?"
345,1,7,Tracy Does Conan,Jack,Because if I have a choice between an international movie star and a woman who does commercials for ShopRite...
346,1,7,Tracy Does Conan,Liz,"No, no, no, Jenna doesn't do those commercials anymore. She got fired."
347,1,7,Tracy Does Conan,Jack,"I don't do these things just to drive you crazy, Lemon. I do them for the good of the show."
